school_name;school_street;school_post_code;school_city;school_longitude;school_latitude;data_humidity_avg;data_pressure_avg;data_temperature_avg;data_pm10_avg;data_pm25_avg;timestamp
LICEUM OGÓLNOKSZTAŁCĄCE W ŚRODZIE ŚLĄSKIEJ;UL. WROCŁAWSKA;55-300;ŚRODA ŚLĄSKA;16.5994053;51.158652;83.90833333333333;1022.5083333333333;5.7749999999999995;32.24166666666667;26.28333333333333;2023-02-14 12:01:32
BRANŻOWA SZKOŁA I STOPNIA NR 6 W ZESPOLE SZKÓŁ PRZEMYSŁU SPOŻYWCZEGO IM. POWSTAŃCÓW WIELKOPOLSKICH W ŁODZI;UL. FRANCISZKAŃSKA;91-845;ŁÓDŹ-BAŁUTY;19.421884;51.7848081;81.59166666666667;1009.4333333333334;4.3;12.016666666666666;9.416666666666666;2023-02-14 12:01:32
TECHNIKUM NR 1 W ZESPOLE SZKÓŁ NR 1 IM. STANISŁAWA STASZICA W BOCHNI;UL. EDWARDA WINDAKIEWICZA;32-700;BOCHNIA;20.416325;49.966639;88.61666666666667;1005.6999999999999;3.5833333333333335;24.633333333333336;19.75;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. M. KOPERNIKA W KOŚCIELCU;;32-100;KOŚCIELEC;20.3906858;50.2001419;90.23333333333333;1009.35;3.3833333333333333;42.9;31.900000000000002;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ŁASZEWIE;;09-135;ŁASZEWO;20.090492;52.858682;99.7;1014.5916666666667;4.175;91.95833333333333;74.38333333333334;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W LIPINACH;;92-701;LIPINY;19.67220915;51.80665653;90.85833333333333;1007.6500000000001;3.891666666666666;14.008333333333333;12.133333333333333;2023-02-14 12:01:32
I LICEUM OGÓLNOKSZTAŁCĄCE IM. MARCINA KROMERA W GORLICACH;UL. MARCINA KROMERA;38-300;GORLICE;21.155748;49.659518;89.375;999.3416666666667;2.7999999999999994;31.275000000000002;25.033333333333335;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM.ŚWIĘTEJ KINGI W KORCZYNIE;;38-340;KORCZYNA;21.255204;49.702509;94.7;997.6333333333333;2.425;26.508333333333336;23.525000000000002;2023-02-14 12:01:32
TECHNIKUM W GOŁOTCZYŹNIE;UL. CIECHANOWSKA;06-430;GOŁOTCZYZNA;20.68880627301113;52.79264333773238;81.25833333333334;1018.9833333333332;5.2;10.833333333333334;8.333333333333334;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA W RADZIKACH DUŻYCH;;87-337;RADZIKI DUŻE;19.278172;53.1659113;100;1021.975;2.3333333333333335;25.441666666666666;20.900000000000002;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ŻOŁNIERZY A.K. II REJONU CELKÓW W MARKACH;UL. SZKOLNA;05-270;MARKI;	21.103744271164814;52.31729535665526;83.85833333333333;1021.5083333333333;4.491666666666666;14.091666666666667;11.641666666666666;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM.KAWALERÓW ORDERU UŚMIECHU W SIEROSŁAWICACH;;32-120;SIEROSŁAWICE;20.461954;50.141099;88.39999999999999;1012.4083333333333;3.225;38.03333333333333;27.108333333333334;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM.ŚW.JANA PAWŁA II W ZAWADACH;UL. KOŚCIUSZKI;16-075;ZAWADY;22.66793745;53.15651651;88.72500000000001;1016.6583333333333;4.2749999999999995;4.583333333333333;3.2916666666666665;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 2 IM. KRÓLOWEJ JADWIGI W CZECHOWICACH-DZIEDZICACH;UL. WĘGLOWA;43-502;CZECHOWICE-DZIEDZICE;19.0071238;49.9283149;90.6923076923077;1006.4461538461538;4.13076923076923;41.19230769230769;31.184615384615384;2023-02-14 12:01:32
PUBLICZNA SZKOŁA PODSTAWOWA NR 1 Z ODDZIAŁAMI DWUJĘZYCZNYMI W MOGIELNICY;UL. NOWOMIEJSKA;05-640;MOGIELNICA;20.72027;51.6909326;85.46666666666665;1016.1999999999999;4.3500000000000005;17.516666666666666;13.783333333333333;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. STANISŁAWA LUBOMIRSKIEGO W NOWYM WIŚNICZU;UL. SZKOLNA;32-720;NOWY WIŚNICZ;20.464022;49.911873;89.53333333333335;1002.9;2.891666666666666;31.566666666666666;24.075;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 29 IM. TADEUSZA KOŚCIUSZKI W RZESZOWIE;UL. PARTYZANTÓW;35-234;RZESZÓW;22.00675633;50.04931405;82.14166666666667;1010.7333333333332;4.1000000000000005;23.55;22.383333333333336;2023-02-14 12:01:32
